,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Fluctuating_Synchronous_Long_4b3,25/11/2021,Long,Fluctuating_Synchro,B,4,1,0,0,1,60,90,6,3
Fluctuating_Synchronous_Long_5a3,25/11/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,310,150,9,3
Fluctuating_Synchronous_Long_5b3,25/11/2021,Long,Fluctuating_Synchro,B,5,2,0,0,2,220,60,4,3
Constant_Short_1a7,29/11/2021,Short,Constant,A,1,0,0,0,0,2480,200,5,7
Constant_Short_1b7,29/11/2021,Short,Constant,B,1,0,0,0,0,1320,130,5,7
Constant_Short_2a7,29/11/2021,Short,Constant,A,2,0,0,0,0,500,466.6666667,5,7
Constant_Short_2b7,29/11/2021,Short,Constant,B,2,0,0,0,0,1000,500,4,7
Constant_Short_3a7,29/11/2021,Short,Constant,A,3,0,0,0,0,1200,700,3,7
Constant_Short_3b7,29/11/2021,Short,Constant,B,3,0,0,0,0,1100,800,4,7
Constant_Short_4a7,29/11/2021,Short,Constant,A,4,0,0,0,0,1280,700,5,7
Constant_Short_4b7,29/11/2021,Short,Constant,B,4,0,0,0,0,860,280,6,7
Constant_Short_5a7,29/11/2021,Short,Constant,A,5,0,0,0,0,1800,110,4,7
Constant_Short_5b7,29/11/2021,Short,Constant,B,5,0,0,0,0,500,70,3,7
Constant_Long_1a70,29/11/2021,Long,Constant,A,1,0,0,0,0,1560,700,6,7
Constant_Long_1b7,29/11/2021,Long,Constant,B,1,0,0,0,0,410,170,3,7
Constant_Long_2a7,29/11/2021,Long,Constant,A,2,0,0,0,0,1200,500,2,7
Constant_Long_2b7,29/11/2021,Long,Constant,B,2,0,0,0,0,1300,800,5,7
Constant_Long_3a7,29/11/2021,Long,Constant,A,3,0,0,0,0,900,800,7,7
Constant_Long_3b7,29/11/2021,Long,Constant,B,3,0,0,0,0,800,250,2,7
Constant_Long_4a7,29/11/2021,Long,Constant,A,4,0,0,0,0,1840,150,8,7
Constant_Long_4b7,29/11/2021,Long,Constant,B,4,0,0,0,0,1560,190,5,7
Constant_Long_5a7,29/11/2021,Long,Constant,A,5,0,0,0,0,1600,1500,10,7
Constant_Long_5b7,29/11/2021,Long,Constant,B,5,0,0,0,0,1300,800,6,7
Fluctuating_Asynchronous_Short_1a70,29/11/2021,Short,Fluctuating_Asynchro,A,1,0,0,80,0,70,250,7,7
Fluctuating_Asynchronous_Short_1b7,29/11/2021,Short,Fluctuating_Asynchro,B,1,0,0,120,0,120,200,5,7
Fluctuating_Asynchronous_Short_2a7,29/11/2021,Short,Fluctuating_Asynchro,A,2,4,0,220,0,15,60,2,7
Fluctuating_Asynchronous_Short_2b7,29/11/2021,Short,Fluctuating_Asynchro,B,2,3,0,260,1,50,130,2,7
Fluctuating_Asynchronous_Short_3a7,29/11/2021,Short,Fluctuating_Asynchro,A,3,2,1,0,1,700,140,4,7
Fluctuating_Asynchronous_Short_3b7,29/11/2021,Short,Fluctuating_Asynchro,B,3,0,0,0,0,2500,120,1,7
Fluctuating_Asynchronous_Short_4a7,29/11/2021,Short,Fluctuating_Asynchro,A,4,0,0,220,0,190,130,2,7
Fluctuating_Asynchronous_Short_4b7,29/11/2021,Short,Fluctuating_Asynchro,B,4,0,0,140,0,130,180,8,7
Fluctuating_Asynchronous_Short_5a7,29/11/2021,Short,Fluctuating_Asynchro,A,5,3,0,1,14,210,50,1,7
Fluctuating_Asynchronous_Short_5b7,29/11/2021,Short,Fluctuating_Asynchro,B,5,5,2,2,21,370,80,6,7
Fluctuating_Asynchronous_Long_1a7,29/11/2021,Long,Fluctuating_Asynchro,A,1,1,1,0,4,600,360,2,7
Fluctuating_Asynchronous_Long_1b7,29/11/2021,Long,Fluctuating_Asynchro,B,1,1,0,0,0,1000,80,6,7
Fluctuating_Asynchronous_Long_2a7,29/11/2021,Long,Fluctuating_Asynchro,A,2,0,0,0,9,350,50,0,7
Fluctuating_Asynchronous_Long_2b7,29/11/2021,Long,Fluctuating_Asynchro,B,2,1,2,0,4,270,60,2,7
Fluctuating_Asynchronous_Long_3a7,29/11/2021,Long,Fluctuating_Asynchro,A,3,1,0,0,0,500,70,9,7
Fluctuating_Asynchronous_Long_3b7,29/11/2021,Long,Fluctuating_Asynchro,B,3,2,1,0,1,390,80,7,7
Fluctuating_Asynchronous_Long_4a7,29/11/2021,Long,Fluctuating_Asynchro,A,4,0,0,0,1,410,50,1,7
Fluctuating_Asynchronous_Long_4b7,29/11/2021,Long,Fluctuating_Asynchro,B,4,5,0,0,1,390,70,5,7
