,date,corridor_length,temp_treatment,patch,replicate,blepharisma,colpidium,didinium,homalozoon,paramecium,spirostomum,bursaria,day
Fluctuating_Asynchronous_Short_1b21,13/12/2021,Short,Fluctuating_Asynchro,B,1,2,0,0,0,110,6,0,21
Fluctuating_Asynchronous_Short_2a21,13/12/2021,Short,Fluctuating_Asynchro,A,2,1160,0,0,0,50,1,0,21
Fluctuating_Asynchronous_Short_2b21,13/12/2021,Short,Fluctuating_Asynchro,B,2,1240,0,0,0,60,1,0,21
Fluctuating_Asynchronous_Short_3a21,13/12/2021,Short,Fluctuating_Asynchro,A,3,9800,0,0,0,7,0,0,21
Fluctuating_Asynchronous_Short_3b21,13/12/2021,Short,Fluctuating_Asynchro,B,3,960,0,0,0,12,0,0,21
Fluctuating_Asynchronous_Short_4a21,13/12/2021,Short,Fluctuating_Asynchro,A,4,80,0,0,0,100,60,0,21
Fluctuating_Asynchronous_Short_4b21,13/12/2021,Short,Fluctuating_Asynchro,B,4,110,0,0,0,140,50,0,21
Fluctuating_Asynchronous_Short_5a21,13/12/2021,Short,Fluctuating_Asynchro,A,5,140,0,0,2,50,60,0,21
Fluctuating_Asynchronous_Short_5b21,13/12/2021,Short,Fluctuating_Asynchro,B,5,180,0,0,1,8,90,0,21
Fluctuating_Asynchronous_Long_1a21,13/12/2021,Long,Fluctuating_Asynchro,A,1,50,0,0,0,60,90,0,21
Fluctuating_Asynchronous_Long_1b21,13/12/2021,Long,Fluctuating_Asynchro,B,1,11,0,0,0,80,90,0,21
Fluctuating_Asynchronous_Long_2a21,13/12/2021,Long,Fluctuating_Asynchro,A,2,70,0,0,2,50,1,0,21
Fluctuating_Asynchronous_Long_2b21,13/12/2021,Long,Fluctuating_Asynchro,B,2,120,0,0,2,20,0,0,21
Fluctuating_Asynchronous_Long_3a21,13/12/2021,Long,Fluctuating_Asynchro,A,3,120,0,0,0,50,1,0,21
Fluctuating_Asynchronous_Long_3b21,13/12/2021,Long,Fluctuating_Asynchro,B,3,90,0,0,0,24,0,0,21
Fluctuating_Asynchronous_Long_4a21,13/12/2021,Long,Fluctuating_Asynchro,A,4,60,0,0,0,150,50,0,21
Fluctuating_Asynchronous_Long_4b21,13/12/2021,Long,Fluctuating_Asynchro,B,4,80,0,0,0,160,50,0,21
Fluctuating_Asynchronous_Long_5a21,13/12/2021,Long,Fluctuating_Asynchro,A,5,180,1,0,0,18,9,0,21
Fluctuating_Asynchronous_Long_5b21,13/12/2021,Long,Fluctuating_Asynchro,B,5,180,1,0,3,18,60,0,21
Static_Diff_Short_1a21,13/12/2021,Short,Static_Diff,A,1,1680,0,0,0,7,4,0,21
Static_Diff_Short_1b21,13/12/2021,Short,Static_Diff,B,1,7000,0,0,0,50,0,0,21
Static_Diff_Short_2a21,13/12/2021,Short,Static_Diff,A,2,1400,2,0,0,2,4,0,21
Static_Diff_Short_2b21,13/12/2021,Short,Static_Diff,B,2,1840,0,0,0,5,5,0,21
Static_Diff_Short_3a21,13/12/2021,Short,Static_Diff,A,3,6000,2,0,0,4,0,0,21
Static_Diff_Short_3b21,13/12/2021,Short,Static_Diff,B,3,6200,1,0,0,9,2,0,21
Static_Diff_Short_4a21,13/12/2021,Short,Static_Diff,A,4,1200,0,0,3,50,0,0,21
Static_Diff_Short_4b21,13/12/2021,Short,Static_Diff,B,4,1450,0,0,1,50,0,0,21
Static_Diff_Short_5a21,13/12/2021,Short,Static_Diff,A,5,560,0,0,12,70,0,0,21
Static_Diff_Short_5b21,13/12/2021,Short,Static_Diff,B,5,1800,0,0,2,110,0,0,21
Static_Diff_Long_1a21,13/12/2021,Long,Static_Diff,A,1,760,0,0,0,140,5,0,21
Static_Diff_Long_1b21,13/12/2021,Long,Static_Diff,B,1,920,0,0,0,70,2,0,21
Static_Diff_Long_2a21,13/12/2021,Long,Static_Diff,A,2,0,0,0,1,60,0,0,21
Static_Diff_Long_2b21,13/12/2021,Long,Static_Diff,B,2,0,0,0,0,80,0,0,21
Static_Diff_Long_3a21,13/12/2021,Long,Static_Diff,A,3,1200,0,0,5,50,50,0,21
Static_Diff_Long_3b21,13/12/2021,Long,Static_Diff,B,3,1080,1,0,50,5,60,0,21
Static_Diff_Long_5a21,13/12/2021,Long,Static_Diff,A,5,100,0,0,0,80,4,0,21
Static_Diff_Long_5b21,13/12/2021,Long,Static_Diff,B,5,110,0,0,0,50,2,0,21
Fluctuating_Synchronous_Short_1a21,13/12/2021,Short,Fluctuating_Synchro,A,1,18,0,0,0,70,0,0,21
Fluctuating_Synchronous_Short_1b21,13/12/2021,Short,Fluctuating_Synchro,B,1,18,0,0,0,90,0,2,21
Fluctuating_Synchronous_Short_2a21,13/12/2021,Short,Fluctuating_Synchro,A,2,0,0,0,0,70,0,0,21
Fluctuating_Synchronous_Short_2b21,13/12/2021,Short,Fluctuating_Synchro,B,2,1,0,0,0,90,0,0,21
Fluctuating_Synchronous_Short_3a21,13/12/2021,Short,Fluctuating_Synchro,A,3,130,1,0,1,300,0,0,21
Fluctuating_Synchronous_Short_3b21,13/12/2021,Short,Fluctuating_Synchro,B,3,50,0,0,2,320,2,0,21
Fluctuating_Synchronous_Short_4a21,13/12/2021,Short,Fluctuating_Synchro,A,4,2,0,0,0,110,15,0,21
Fluctuating_Synchronous_Short_4b21,13/12/2021,Short,Fluctuating_Synchro,B,4,3,0,0,0,80,13,0,21
Fluctuating_Synchronous_Short_5a21,13/12/2021,Short,Fluctuating_Synchro,A,5,0,0,0,13,1,0,0,21
Fluctuating_Synchronous_Short_5b21,13/12/2021,Short,Fluctuating_Synchro,B,5,0,0,0,5,5,2,0,21
Fluctuating_Synchronous_Long_1a21,13/12/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,50,150,2,21
Fluctuating_Synchronous_Long_1b21,13/12/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,60,90,0,21
Fluctuating_Synchronous_Long_2a21,13/12/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,7,70,1,21
Fluctuating_Synchronous_Long_2b21,13/12/2021,Long,Fluctuating_Synchro,B,2,0,0,0,0,70,60,2,21
Fluctuating_Synchronous_Long_3a21,13/12/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,150,12,0,21
Fluctuating_Synchronous_Long_3b21,13/12/2021,Long,Fluctuating_Synchro,B,3,1,0,0,0,210,6,3,21
Fluctuating_Synchronous_Long_4a21,13/12/2021,Long,Fluctuating_Synchro,A,4,4,0,0,0,170,50,2,21
Fluctuating_Synchronous_Long_4b21,13/12/2021,Long,Fluctuating_Synchro,B,4,1,0,0,0,70,4,1,21
Fluctuating_Synchronous_Long_5a21,13/12/2021,Long,Fluctuating_Synchro,A,5,0,0,0,0,80,2,0,21
Fluctuating_Synchronous_Long_5b21,13/12/2021,Long,Fluctuating_Synchro,B,5,0,0,0,0,90,3,1,21
Constant_Short_1a24,16/12/2021,Short,Constant,A,1,0,0,0,0,5600,320,0,24
Constant_Short_1b24,16/12/2021,Short,Constant,B,1,0,0,0,0,1280,200,0,24
Constant_Short_2a24,16/12/2021,Short,Constant,A,2,0,0,0,0,800,360,0,24
Constant_Short_2b24,16/12/2021,Short,Constant,B,2,0,0,0,0,320,520,0,24
Constant_Short_3a24,16/12/2021,Short,Constant,A,3,0,0,0,0,300,170,0,24
Constant_Short_3b24,16/12/2021,Short,Constant,B,3,0,0,0,0,140,160,0,24
Constant_Short_4a24,16/12/2021,Short,Constant,A,4,0,0,0,0,600,260,1,24
Constant_Short_4b24,16/12/2021,Short,Constant,B,4,0,0,0,0,760,180,0,24
Constant_Short_5a24,16/12/2021,Short,Constant,A,5,0,0,0,0,110,60,0,24
Constant_Short_5b24,16/12/2021,Short,Constant,B,5,0,0,0,0,130,70,0,24
Constant_Long_1a240,16/12/2021,Long,Constant,A,1,0,0,0,0,190,190,0,24
Constant_Long_1b24,16/12/2021,Long,Constant,B,1,0,0,0,0,280,70,0,24
Constant_Long_2a24,16/12/2021,Long,Constant,A,2,1,0,0,0,780,180,0,24
Constant_Long_2b24,16/12/2021,Long,Constant,B,2,3,0,0,0,230,280,0,24
Constant_Long_3a24,16/12/2021,Long,Constant,A,3,0,0,0,60,110,60,0,24
Constant_Long_3b24,16/12/2021,Long,Constant,B,3,3,0,0,13,70,30,0,24
Constant_Long_4a24,16/12/2021,Long,Constant,A,4,0,0,0,9,440,2,0,24
Constant_Long_4b24,16/12/2021,Long,Constant,B,4,0,0,0,3,410,1,0,24
Constant_Long_5a24,16/12/2021,Long,Constant,A,5,0,0,0,0,490,420,0,24
Constant_Long_5b24,16/12/2021,Long,Constant,B,5,0,0,0,0,980,620,0,24
Fluctuating_Asynchronous_Short_1a240,16/12/2021,Short,Fluctuating_Asynchro,A,1,10,0,0,0,110,2,0,24
Fluctuating_Asynchronous_Short_1b24,16/12/2021,Short,Fluctuating_Asynchro,B,1,0,0,0,0,80,6,0,24
Fluctuating_Asynchronous_Short_2a24,16/12/2021,Short,Fluctuating_Asynchro,A,2,880,0,0,0,22,0,0,24
Fluctuating_Asynchronous_Short_2b24,16/12/2021,Short,Fluctuating_Asynchro,B,2,1080,0,0,0,29,1,0,24
Fluctuating_Asynchronous_Short_3a24,16/12/2021,Short,Fluctuating_Asynchro,A,3,520,0,0,0,0,0,0,24
Fluctuating_Asynchronous_Short_3b24,16/12/2021,Short,Fluctuating_Asynchro,B,3,600,0,0,0,4,0,0,24
Fluctuating_Asynchronous_Short_4a24,16/12/2021,Short,Fluctuating_Asynchro,A,4,150,0,0,0,130,13,0,24
Fluctuating_Asynchronous_Short_4b24,16/12/2021,Short,Fluctuating_Asynchro,B,4,80,0,0,0,90,70,0,24
Fluctuating_Asynchronous_Short_5a24,16/12/2021,Short,Fluctuating_Asynchro,A,5,280,0,0,0,3,4,0,24
Fluctuating_Asynchronous_Short_5b24,16/12/2021,Short,Fluctuating_Asynchro,B,5,230,0,0,0,5,7,0,24
Fluctuating_Asynchronous_Long_1a24,16/12/2021,Long,Fluctuating_Asynchro,A,1,50,0,0,0,80,50,0,24
Fluctuating_Asynchronous_Long_1b24,16/12/2021,Long,Fluctuating_Asynchro,B,1,60,0,0,0,50,22,0,24
Fluctuating_Asynchronous_Long_2a24,16/12/2021,Long,Fluctuating_Asynchro,A,2,180,0,0,0,6,0,0,24
Fluctuating_Asynchronous_Long_2b24,16/12/2021,Long,Fluctuating_Asynchro,B,2,60,0,0,0,6,2,0,24
Fluctuating_Asynchronous_Long_3a24,16/12/2021,Long,Fluctuating_Asynchro,A,3,100,0,0,0,100,70,0,24
Fluctuating_Asynchronous_Long_3b24,16/12/2021,Long,Fluctuating_Asynchro,B,3,90,0,0,0,100,50,0,24
Fluctuating_Asynchronous_Long_4a24,16/12/2021,Long,Fluctuating_Asynchro,A,4,220,0,0,0,8,4,0,24
Fluctuating_Asynchronous_Long_4b24,16/12/2021,Long,Fluctuating_Asynchro,B,4,150,0,0,0,60,3,0,24
Fluctuating_Asynchronous_Long_5a24,16/12/2021,Long,Fluctuating_Asynchro,A,5,220,2,0,0,9,9,0,24
Fluctuating_Asynchronous_Long_5b24,16/12/2021,Long,Fluctuating_Asynchro,B,5,200,0,0,0,12,9,0,24
Static_Diff_Short_1a24,16/12/2021,Short,Static_Diff,A,1,7000,0,0,0,8,2,0,24
Static_Diff_Short_1b24,16/12/2021,Short,Static_Diff,B,1,5800,0,0,0,20,1,0,24
Static_Diff_Short_2a24,16/12/2021,Short,Static_Diff,A,2,8800,0,0,0,2,2,0,24
Static_Diff_Short_2b24,16/12/2021,Short,Static_Diff,B,2,1600,0,0,0,1,1,0,24
Static_Diff_Short_3a24,16/12/2021,Short,Static_Diff,A,3,1600,0,0,0,4,0,0,24
Static_Diff_Short_3b24,16/12/2021,Short,Static_Diff,B,3,5600,0,0,0,5,0,0,24
Static_Diff_Short_4a24,16/12/2021,Short,Static_Diff,A,4,2600,0,0,2,1,0,0,24
Static_Diff_Short_4b24,16/12/2021,Short,Static_Diff,B,4,1300,0,0,0,4,0,0,24
Static_Diff_Short_5a24,16/12/2021,Short,Static_Diff,A,5,1200,0,0,4,50,0,0,24
Static_Diff_Short_5b24,16/12/2021,Short,Static_Diff,B,5,560,0,0,2,100,0,0,24
Static_Diff_Long_1a24,16/12/2021,Long,Static_Diff,A,1,470,0,0,0,100,4,0,24
Static_Diff_Long_1b24,16/12/2021,Long,Static_Diff,B,1,2600,0,0,0,60,7,0,24
Static_Diff_Long_2a24,16/12/2021,Long,Static_Diff,A,2,0,1,0,0,19,0,0,24
Static_Diff_Long_2b24,16/12/2021,Long,Static_Diff,B,2,0,0,0,1,50,0,0,24
Static_Diff_Long_3a24,16/12/2021,Long,Static_Diff,A,3,2600,0,0,5,4,6,0,24
Static_Diff_Long_3b24,16/12/2021,Long,Static_Diff,B,3,1160,0,0,16,3,3,0,24
Static_Diff_Long_5a24,16/12/2021,Long,Static_Diff,A,5,170,0,0,0,70,1,0,24
Static_Diff_Long_5b24,16/12/2021,Long,Static_Diff,B,5,160,0,0,0,18,1,0,24
Fluctuating_Synchronous_Short_1a24,16/12/2021,Short,Fluctuating_Synchro,A,1,110,0,0,0,50,0,0,24
Fluctuating_Synchronous_Short_1b24,16/12/2021,Short,Fluctuating_Synchro,B,1,120,0,0,0,18,3,0,24
Fluctuating_Synchronous_Short_2a24,16/12/2021,Short,Fluctuating_Synchro,A,2,0,0,0,0,70,0,0,24
Fluctuating_Synchronous_Short_2b24,16/12/2021,Short,Fluctuating_Synchro,B,2,0,0,0,0,38,0,0,24
Fluctuating_Synchronous_Short_3a24,16/12/2021,Short,Fluctuating_Synchro,A,3,120,1,0,0,160,2,0,24
Fluctuating_Synchronous_Short_3b24,16/12/2021,Short,Fluctuating_Synchro,B,3,5,3,0,1,130,1,0,24
Fluctuating_Synchronous_Short_4a24,16/12/2021,Short,Fluctuating_Synchro,A,4,8,0,0,0,50,5,0,24
Fluctuating_Synchronous_Short_4b24,16/12/2021,Short,Fluctuating_Synchro,B,4,2,0,0,0,50,8,0,24
Fluctuating_Synchronous_Short_5a24,16/12/2021,Short,Fluctuating_Synchro,A,5,0,0,0,0,5,2,0,24
Fluctuating_Synchronous_Short_5b24,16/12/2021,Short,Fluctuating_Synchro,B,5,0,0,0,0,4,0,0,24
Fluctuating_Synchronous_Long_1a24,16/12/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,17,100,0,24
Fluctuating_Synchronous_Long_1b24,16/12/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,50,120,0,24
Fluctuating_Synchronous_Long_2a24,16/12/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,14,50,1,24
Fluctuating_Synchronous_Long_2b24,16/12/2021,Long,Fluctuating_Synchro,B,2,0,0,0,0,5,60,2,24
Fluctuating_Synchronous_Long_3a24,16/12/2021,Long,Fluctuating_Synchro,A,3,1,0,0,0,50,2,0,24
Fluctuating_Synchronous_Long_3b24,16/12/2021,Long,Fluctuating_Synchro,B,3,1,0,0,0,33,5,0,24
Fluctuating_Synchronous_Long_4a24,16/12/2021,Long,Fluctuating_Synchro,A,4,0,0,0,0,50,0,1,24
Fluctuating_Synchronous_Long_4b24,16/12/2021,Long,Fluctuating_Synchro,B,4,3,0,0,0,50,3,1,24
Fluctuating_Synchronous_Long_5a24,16/12/2021,Long,Fluctuating_Synchro,A,5,1,0,0,0,18,0,0,24
Fluctuating_Synchronous_Long_5b24,16/12/2021,Long,Fluctuating_Synchro,B,5,0,0,0,1,27,0,0,24
Constant_Short_1a28,20/12/2021,Short,Constant,A,1,0,0,0,0,840,140,0,28
Constant_Short_1b28,20/12/2021,Short,Constant,B,1,0,0,0,0,840,260,0,28
Constant_Short_2a28,20/12/2021,Short,Constant,A,2,0,0,0,0,780,240,0,28
Constant_Short_2b28,20/12/2021,Short,Constant,B,2,0,0,0,0,960,320,0,28
Constant_Short_3a28,20/12/2021,Short,Constant,A,3,1,0,0,0,140,110,0,28
Constant_Short_3b28,20/12/2021,Short,Constant,B,3,0,0,0,0,230,180,0,28
Constant_Short_4a28,20/12/2021,Short,Constant,A,4,0,0,0,0,700,250,0,28
Constant_Short_4b28,20/12/2021,Short,Constant,B,4,0,0,0,0,600,270,0,28
Constant_Short_5a28,20/12/2021,Short,Constant,A,5,0,0,0,0,140,90,0,28
Constant_Short_5b28,20/12/2021,Short,Constant,B,5,0,0,0,0,130,50,0,28
Constant_Long_1a280,20/12/2021,Long,Constant,A,1,50,0,0,0,100,170,0,28
Constant_Long_1b28,20/12/2021,Long,Constant,B,1,3,0,0,0,330,170,0,28
Constant_Long_2a28,20/12/2021,Long,Constant,A,2,3,0,0,0,300,230,0,28
Constant_Long_2b28,20/12/2021,Long,Constant,B,2,4,0,0,0,250,260,0,28
Constant_Long_3a28,20/12/2021,Long,Constant,A,3,3,0,0,11,110,70,0,28
Constant_Long_3b28,20/12/2021,Long,Constant,B,3,50,0,0,0,60,9,0,28
Constant_Long_4a28,20/12/2021,Long,Constant,A,4,2,0,0,4,230,0,0,28
Constant_Long_4b28,20/12/2021,Long,Constant,B,4,0,0,0,2,170,0,0,28
Constant_Long_5a28,20/12/2021,Long,Constant,A,5,0,0,0,0,150,90,0,28
Constant_Long_5b28,20/12/2021,Long,Constant,B,5,0,0,0,0,150,430,0,28
Fluctuating_Asynchronous_Short_1a280,20/12/2021,Short,Fluctuating_Asynchro,A,1,70,0,0,0,80,0,0,28
Fluctuating_Asynchronous_Short_1b28,20/12/2021,Short,Fluctuating_Asynchro,B,1,70,0,0,0,60,0,0,28
Fluctuating_Asynchronous_Short_2a28,20/12/2021,Short,Fluctuating_Asynchro,A,2,600,0,0,0,50,0,0,28
Fluctuating_Asynchronous_Short_2b28,20/12/2021,Short,Fluctuating_Asynchro,B,2,600,0,0,0,50,0,0,28
Fluctuating_Asynchronous_Short_3a28,20/12/2021,Short,Fluctuating_Asynchro,A,3,390,0,0,0,1,0,0,28
Fluctuating_Asynchronous_Short_3b28,20/12/2021,Short,Fluctuating_Asynchro,B,3,480,3,0,0,3,0,0,28
Fluctuating_Asynchronous_Short_4a28,20/12/2021,Short,Fluctuating_Asynchro,A,4,240,0,0,0,260,50,0,28
Fluctuating_Asynchronous_Short_4b28,20/12/2021,Short,Fluctuating_Asynchro,B,4,60,0,0,0,180,50,0,28
Fluctuating_Asynchronous_Short_5a28,20/12/2021,Short,Fluctuating_Asynchro,A,5,370,0,0,0,2,2,0,28
Fluctuating_Asynchronous_Short_5b28,20/12/2021,Short,Fluctuating_Asynchro,B,5,370,0,0,0,2,5,0,28
Fluctuating_Asynchronous_Long_1a28,20/12/2021,Long,Fluctuating_Asynchro,A,1,12,0,0,0,50,13,0,28
Fluctuating_Asynchronous_Long_1b28,20/12/2021,Long,Fluctuating_Asynchro,B,1,17,1,0,0,50,5,0,28
Fluctuating_Asynchronous_Long_2a28,20/12/2021,Long,Fluctuating_Asynchro,A,2,150,0,0,0,50,0,0,28
Fluctuating_Asynchronous_Long_2b28,20/12/2021,Long,Fluctuating_Asynchro,B,2,120,0,0,0,2,0,0,28
Fluctuating_Asynchronous_Long_3a28,20/12/2021,Long,Fluctuating_Asynchro,A,3,260,0,0,0,80,90,0,28
Fluctuating_Asynchronous_Long_3b28,20/12/2021,Long,Fluctuating_Asynchro,B,3,250,0,0,0,50,60,0,28
Fluctuating_Asynchronous_Long_4a28,20/12/2021,Long,Fluctuating_Asynchro,A,4,180,0,0,0,7,0,0,28
Fluctuating_Asynchronous_Long_4b28,20/12/2021,Long,Fluctuating_Asynchro,B,4,150,0,0,0,5,0,0,28
Fluctuating_Asynchronous_Long_5a28,20/12/2021,Long,Fluctuating_Asynchro,A,5,260,0,0,0,3,2,0,28
Fluctuating_Asynchronous_Long_5b28,20/12/2021,Long,Fluctuating_Asynchro,B,5,230,0,0,0,2,5,0,28
Static_Diff_Short_1a28,20/12/2021,Short,Static_Diff,A,1,1600,0,0,0,6,1,0,28
Static_Diff_Short_1b28,20/12/2021,Short,Static_Diff,B,1,1700,0,0,0,60,0,0,28
Static_Diff_Short_2a28,20/12/2021,Short,Static_Diff,A,2,1200,1,0,0,0,0,0,28
Static_Diff_Short_2b28,20/12/2021,Short,Static_Diff,B,2,1600,1,0,0,0,0,0,28
Static_Diff_Short_3a28,20/12/2021,Short,Static_Diff,A,3,1680,0,0,0,1,0,0,28
Static_Diff_Short_3b28,20/12/2021,Short,Static_Diff,B,3,1240,0,0,0,0,0,0,28
Static_Diff_Short_4a28,20/12/2021,Short,Static_Diff,A,4,900,0,0,0,2,0,0,28
Static_Diff_Short_4b28,20/12/2021,Short,Static_Diff,B,4,800,0,0,0,6,0,0,28
Static_Diff_Short_5a28,20/12/2021,Short,Static_Diff,A,5,600,0,0,3,50,0,0,28
Static_Diff_Short_5b28,20/12/2021,Short,Static_Diff,B,5,960,0,0,0,100,0,0,28
Static_Diff_Long_1a28,20/12/2021,Long,Static_Diff,A,1,1320,0,0,0,12,5,0,28
Static_Diff_Long_1b28,20/12/2021,Long,Static_Diff,B,1,1120,0,0,0,8,5,0,28
Static_Diff_Long_2a28,20/12/2021,Long,Static_Diff,A,2,0,0,0,0,7,0,0,28
Static_Diff_Long_2b28,20/12/2021,Long,Static_Diff,B,2,0,0,0,0,14,0,0,28
Static_Diff_Long_3a28,20/12/2021,Long,Static_Diff,A,3,1480,0,0,1,3,2,0,28
Static_Diff_Long_3b28,20/12/2021,Long,Static_Diff,B,3,1320,0,0,10,2,8,0,28
Static_Diff_Long_5a28,20/12/2021,Long,Static_Diff,A,5,500,0,0,0,12,1,0,28
Static_Diff_Long_5b28,20/12/2021,Long,Static_Diff,B,5,140,0,0,0,5,1,0,28
Fluctuating_Synchronous_Short_1a28,20/12/2021,Short,Fluctuating_Synchro,A,1,140,0,0,0,50,1,0,28
Fluctuating_Synchronous_Short_1b28,20/12/2021,Short,Fluctuating_Synchro,B,1,170,0,0,0,100,1,0,28
Fluctuating_Synchronous_Short_2a28,20/12/2021,Short,Fluctuating_Synchro,A,2,0,0,0,0,21,0,0,28
Fluctuating_Synchronous_Short_2b28,20/12/2021,Short,Fluctuating_Synchro,B,2,0,0,0,0,70,0,0,28
Fluctuating_Synchronous_Short_3a28,20/12/2021,Short,Fluctuating_Synchro,A,3,80,2,0,0,70,0,0,28
Fluctuating_Synchronous_Short_3b28,20/12/2021,Short,Fluctuating_Synchro,B,3,100,0,0,0,50,0,0,28
Fluctuating_Synchronous_Short_4a28,20/12/2021,Short,Fluctuating_Synchro,A,4,0,0,0,0,80,0,0,28
Fluctuating_Synchronous_Short_4b28,20/12/2021,Short,Fluctuating_Synchro,B,4,7,0,0,0,60,0,0,28
Fluctuating_Synchronous_Short_5a28,20/12/2021,Short,Fluctuating_Synchro,A,5,0,0,0,0,3,0,0,28
Fluctuating_Synchronous_Short_5b28,20/12/2021,Short,Fluctuating_Synchro,B,5,0,0,0,0,0,0,0,28
Fluctuating_Synchronous_Long_1a28,20/12/2021,Long,Fluctuating_Synchro,A,1,0,0,0,0,20,50,0,28
Fluctuating_Synchronous_Long_1b28,20/12/2021,Long,Fluctuating_Synchro,B,1,0,0,0,0,5,130,0,28
Fluctuating_Synchronous_Long_2a28,20/12/2021,Long,Fluctuating_Synchro,A,2,0,0,0,0,0,0,0,28
Fluctuating_Synchronous_Long_2b28,20/12/2021,Long,Fluctuating_Synchro,B,2,0,0,0,0,0,0,1,28
Fluctuating_Synchronous_Long_3a28,20/12/2021,Long,Fluctuating_Synchro,A,3,0,0,0,0,7,1,0,28
Fluctuating_Synchronous_Long_3b28,20/12/2021,Long,Fluctuating_Synchro,B,3,1,0,0,0,8,3,0,28
Fluctuating_Synchronous_Long_4a28,20/12/2021,Long,Fluctuating_Synchro,A,4,0,0,0,0,100,3,0,28
Fluctuating_Synchronous_Long_4b28,20/12/2021,Long,Fluctuating_Synchro,B,4,0,0,0,0,45,2,0,28
Fluctuating_Synchronous_Long_5a28,20/12/2021,Long,Fluctuating_Synchro,A,5,0,0,0,0,6,2,0,28
Fluctuating_Synchronous_Long_5b28,20/12/2021,Long,Fluctuating_Synchro,B,5,0,0,0,0,9,3,0,28
